ID_Edificacion,Nombre_Patrimonio,Ciudad,Departamento,Edad_Estructura_Anios,Material_Principal,Precipitacion_Anual_mm,Humedad_Prom_Anual_pct,PM10_Promedio_ugm3,Distancia_Via_Principal_m,Nivel_Deterioro_Actual
BIC-0042,Edificacion_Patrimonial_42,Medellín,Antioquia,168,Ladrillo,1569.1,73.3,60.5,135.0,Medio
BIC-0043,Edificacion_Patrimonial_43,Cartagena,Bolívar,236,Ladrillo,1155.4,75.1,25.6,165.7,Bajo
BIC-0044,Edificacion_Patrimonial_44,Barichara,Santander,174,Adobe_Tapia,1125.7,62.1,23.7,69.6,Bajo
BIC-0045,Edificacion_Patrimonial_45,Popayán,Cauca,195,Mamposteria,2213.6,82.8,31.5,220.7,Bajo
BIC-0046,Edificacion_Patrimonial_46,Santa Marta,Magdalena,57,Piedra_Coralina,829.9,80.8,21.4,3.7,Medio
BIC-0047,Edificacion_Patrimonial_47,Medellín,Antioquia,335,Mamposteria,1463.3,71.4,43.9,3.1,Medio
BIC-0048,Edificacion_Patrimonial_48,Medellín,Antioquia,78,Ladrillo,1616.5,75.8,61.3,24.3,Medio
BIC-0049,Edificacion_Patrimonial_49,Popayán,Cauca,91,Piedra_Coralina,2121.6,78.2,18.5,77.8,Bajo
BIC-0050,Edificacion_Patrimonial_50,Barichara,Santander,259,Adobe_Tapia,1182.9,62.1,19.4,39.0,Bajo
BIC-0051,Edificacion_Patrimonial_51,Cali,Valle del Cauca,97,Piedra_Ladrillo,1565.2,69.0,43.9,2.6,Medio
BIC-0052,Edificacion_Patrimonial_52,Cartagena,Bolívar,88,Ladrillo,1216.1,80.3,31.8,28.8,Medio
BIC-0053,Edificacion_Patrimonial_53,Villa de Leyva,Boyacá,291,Mamposteria,940.5,58.7,27.2,309.8,Bajo
BIC-0054,Edificacion_Patrimonial_54,Cali,Valle del Cauca,180,Piedra_Coralina,1645.1,66.4,63.4,28.5,Medio
BIC-0055,Edificacion_Patrimonial_55,Mompox,Bolívar,251,Piedra_Concreto,1129.2,86.2,22.7,64.3,Bajo
BIC-0056,Edificacion_Patrimonial_56,Santa Marta,Magdalena,148,Adobe_Tapia,886.7,73.5,28.9,56.9,Bajo
BIC-0057,Edificacion_Patrimonial_57,Cali,Valle del Cauca,280,Piedra_Concreto,1337.0,70.8,46.3,46.9,Medio
BIC-0058,Edificacion_Patrimonial_58,Tunja,Boyacá,154,Piedra_Ladrillo,884.8,67.0,29.1,17.8,Medio
BIC-0059,Edificacion_Patrimonial_59,Cartagena,Bolívar,165,Ladrillo,990.0,82.3,31.1,281.7,Bajo
BIC-0060,Edificacion_Patrimonial_60,Medellín,Antioquia,50,Adobe_Tapia,1778.1,64.9,81.1,78.9,Bajo
BIC-0061,Edificacion_Patrimonial_61,Cali,Valle del Cauca,137,Piedra_Coralina,1538.8,74.4,38.8,7.4,Medio
BIC-0062,Edificacion_Patrimonial_62,Tunja,Boyacá,220,Piedra_Ladrillo,603.5,61.9,16.4,119.3,Bajo
BIC-0063,Edificacion_Patrimonial_63,Medellín,Antioquia,221,Piedra_Ladrillo,1680.7,72.1,66.3,33.1,Medio
BIC-0064,Edificacion_Patrimonial_64,Santa Marta,Magdalena,194,Piedra_Coralina,909.0,71.1,17.8,149.8,Bajo
BIC-0065,Edificacion_Patrimonial_65,Popayán,Cauca,193,Piedra_Ladrillo,2079.8,76.9,36.0,139.0,Bajo
BIC-0066,Edificacion_Patrimonial_66,Cartagena,Bolívar,117,Piedra_Concreto,1076.2,82.1,44.3,175.1,Bajo
BIC-0067,Edificacion_Patrimonial_67,Barichara,Santander,204,Adobe_Tapia,1069.0,63.6,13.7,300.8,Bajo
BIC-0068,Edificacion_Patrimonial_68,Villa de Leyva,Boyacá,302,Mamposteria,1006.5,56.0,13.5,39.8,Bajo
BIC-0069,Edificacion_Patrimonial_69,Barichara,Santander,242,Piedra_Ladrillo,1179.2,65.1,21.3,9.6,Medio
BIC-0070,Edificacion_Patrimonial_70,Bogotá,Cundinamarca,94,Piedra_Concreto,839.1,64.5,72.7,218.7,Bajo
BIC-0071,Edificacion_Patrimonial_71,Mompox,Bolívar,83,Piedra_Concreto,1167.9,86.1,9.4,96.3,Bajo
BIC-0072,Edificacion_Patrimonial_72,Bogotá,Cundinamarca,115,Piedra_Concreto,860.4,77.8,63.7,8.5,Medio
BIC-0073,Edificacion_Patrimonial_73,Medellín,Antioquia,50,Piedra_Coralina,1509.3,64.4,57.9,150.1,Bajo
BIC-0074,Edificacion_Patrimonial_74,Tunja,Boyacá,50,Ladrillo,807.0,63.5,20.0,63.2,Bajo
BIC-0075,Edificacion_Patrimonial_75,Popayán,Cauca,175,Adobe_Tapia,2017.3,80.6,40.3,327.5,Medio
BIC-0076,Edificacion_Patrimonial_76,Santa Marta,Magdalena,50,Mamposteria,895.6,78.3,34.6,330.3,Bajo
BIC-0077,Edificacion_Patrimonial_77,Barichara,Santander,167,Piedra_Concreto,1101.3,62.5,7.3,348.4,Bajo
BIC-0078,Edificacion_Patrimonial_78,Bogotá,Cundinamarca,332,Ladrillo,880.6,72.8,73.6,98.8,Medio
BIC-0079,Edificacion_Patrimonial_79,Villa de Leyva,Boyacá,219,Piedra_Concreto,918.3,75.9,9.9,32.5,Bajo
BIC-0080,Edificacion_Patrimonial_80,Santa Marta,Magdalena,137,Mamposteria,844.5,85.2,11.9,8.1,Medio
BIC-0081,Edificacion_Patrimonial_81,Cartagena,Bolívar,177,Piedra_Ladrillo,1237.6,86.8,29.2,115.4,Bajo
BIC-0082,Edificacion_Patrimonial_82,Villa de Leyva,Boyacá,209,Piedra_Ladrillo,1047.7,68.5,16.7,201.0,Bajo
BIC-0083,Edificacion_Patrimonial_83,Medellín,Antioquia,244,Piedra_Coralina,1603.1,59.4,73.5,350.4,Medio
BIC-0084,Edificacion_Patrimonial_84,Cartagena,Bolívar,172,Piedra_Ladrillo,1077.9,69.7,26.0,31.9,Bajo
BIC-0085,Edificacion_Patrimonial_85,Medellín,Antioquia,150,Ladrillo,1654.7,65.7,66.2,59.9,Bajo
BIC-0086,Edificacion_Patrimonial_86,Cartagena,Bolívar,50,Piedra_Coralina,1103.5,87.3,50.4,44.3,Medio
BIC-0087,Edificacion_Patrimonial_87,Santa Marta,Magdalena,176,Piedra_Coralina,905.2,87.8,31.2,73.4,Medio
BIC-0088,Edificacion_Patrimonial_88,Villa de Leyva,Boyacá,163,Piedra_Coralina,1015.3,70.1,19.7,51.7,Bajo
BIC-0089,Edificacion_Patrimonial_89,Cali,Valle del Cauca,201,Adobe_Tapia,1616.9,68.2,51.9,14.7,Medio
BIC-0090,Edificacion_Patrimonial_90,Bogotá,Cundinamarca,50,Piedra_Concreto,984.4,79.4,53.6,42.8,Bajo
BIC-0091,Edificacion_Patrimonial_91,Barichara,Santander,270,Piedra_Coralina,1107.4,70.1,1.2,198.3,Bajo
BIC-0092,Edificacion_Patrimonial_92,Villa de Leyva,Boyacá,148,Piedra_Ladrillo,979.6,63.6,1.4,391.4,Bajo
BIC-0093,Edificacion_Patrimonial_93,Medellín,Antioquia,50,Adobe_Tapia,1641.1,61.5,66.7,7.9,Medio
BIC-0094,Edificacion_Patrimonial_94,Cartagena,Bolívar,61,Ladrillo,1098.8,85.7,32.1,64.2,Bajo
BIC-0095,Edificacion_Patrimonial_95,Tunja,Boyacá,71,Mamposteria,700.4,62.3,12.1,19.5,Bajo
BIC-0096,Edificacion_Patrimonial_96,Bogotá,Cundinamarca,50,Piedra_Concreto,820.8,75.3,32.2,117.2,Bajo
BIC-0097,Edificacion_Patrimonial_97,Mompox,Bolívar,94,Mamposteria,1221.4,83.4,12.8,164.1,Bajo
BIC-0098,Edificacion_Patrimonial_98,Santa Marta,Magdalena,91,Piedra_Coralina,1038.0,77.3,17.7,66.3,Bajo
BIC-0099,Edificacion_Patrimonial_99,Mompox,Bolívar,50,Piedra_Coralina,1336.7,92.2,12.5,3.7,Medio
BIC-0100,Edificacion_Patrimonial_100,Popayán,Cauca,218,Piedra_Coralina,2001.2,78.1,34.7,76.0,Medio
BIC-0101,Edificacion_Patrimonial_101,Cali,Valle del Cauca,139,Piedra_Concreto,1384.4,65.0,47.0,31.4,Bajo
BIC-0102,Edificacion_Patrimonial_102,Cali,Valle del Cauca,135,Piedra_Coralina,1475.2,67.7,38.5,39.7,Bajo
BIC-0103,Edificacion_Patrimonial_103,Medellín,Antioquia,284,Mamposteria,1738.2,68.0,74.8,9.1,Alto
BIC-0104,Edificacion_Patrimonial_104,Medellín,Antioquia,339,Ladrillo,1751.5,65.8,75.8,13.6,Alto
BIC-0105,Edificacion_Patrimonial_105,Barichara,Santander,79,Piedra_Concreto,961.7,66.6,34.1,44.0,Bajo
BIC-0106,Edificacion_Patrimonial_106,Villa de Leyva,Boyacá,152,Adobe_Tapia,912.7,63.2,15.6,16.6,Medio
BIC-0107,Edificacion_Patrimonial_107,Barichara,Santander,97,Mamposteria,1051.3,59.0,6.4,19.0,Bajo
BIC-0108,Edificacion_Patrimonial_108,Cali,Valle del Cauca,50,Ladrillo,1548.5,75.0,44.2,200.6,Bajo
BIC-0109,Edificacion_Patrimonial_109,Bogotá,Cundinamarca,103,Adobe_Tapia,915.5,77.5,45.2,265.0,Medio
BIC-0110,Edificacion_Patrimonial_110,Bogotá,Cundinamarca,313,Piedra_Coralina,1002.0,79.7,47.4,20.7,Alto
BIC-0111,Edificacion_Patrimonial_111,Bogotá,Cundinamarca,88,Ladrillo,659.5,66.9,55.5,12.2,Medio
BIC-0112,Edificacion_Patrimonial_112,Bogotá,Cundinamarca,50,Piedra_Coralina,919.8,69.3,57.7,65.6,Bajo
BIC-0113,Edificacion_Patrimonial_113,Bogotá,Cundinamarca,97,Ladrillo,844.7,70.7,51.2,6.5,Medio
BIC-0114,Edificacion_Patrimonial_114,Cartagena,Bolívar,101,Mamposteria,1126.0,87.5,42.7,90.5,Bajo
BIC-0115,Edificacion_Patrimonial_115,Villa de Leyva,Boyacá,50,Ladrillo,820.3,67.9,16.0,177.6,Bajo
BIC-0116,Edificacion_Patrimonial_116,Cali,Valle del Cauca,163,Adobe_Tapia,1488.9,75.4,60.8,184.4,Medio
BIC-0117,Edificacion_Patrimonial_117,Bogotá,Cundinamarca,177,Adobe_Tapia,798.8,72.6,50.7,17.9,Medio
BIC-0118,Edificacion_Patrimonial_118,Bogotá,Cundinamarca,193,Piedra_Coralina,943.5,64.0,58.6,209.7,Medio
BIC-0119,Edificacion_Patrimonial_119,Cartagena,Bolívar,246,Piedra_Coralina,1009.2,71.8,24.9,62.1,Bajo
BIC-0120,Edificacion_Patrimonial_120,Medellín,Antioquia,234,Piedra_Coralina,1565.6,60.1,60.2,229.8,Medio
BIC-0121,Edificacion_Patrimonial_121,Bogotá,Cundinamarca,216,Mamposteria,618.9,76.2,62.7,12.4,Medio
BIC-0122,Edificacion_Patrimonial_122,Barichara,Santander,163,Piedra_Ladrillo,1156.9,57.6,11.0,158.0,Bajo
BIC-0123,Edificacion_Patrimonial_123,Medellín,Antioquia,200,Piedra_Coralina,1877.1,68.9,62.5,16.4,Medio
BIC-0124,Edificacion_Patrimonial_124,Popayán,Cauca,62,Piedra_Coralina,2018.3,85.5,29.0,209.4,Bajo
BIC-0125,Edificacion_Patrimonial_125,Santa Marta,Magdalena,233,Piedra_Coralina,929.0,78.7,20.2,159.6,Medio
BIC-0126,Edificacion_Patrimonial_126,Bogotá,Cundinamarca,115,Piedra_Coralina,784.7,79.8,64.7,102.5,Medio
BIC-0127,Edificacion_Patrimonial_127,Villa de Leyva,Boyacá,183,Mamposteria,1087.7,61.1,5.6,20.0,Medio
BIC-0128,Edificacion_Patrimonial_128,Santa Marta,Magdalena,163,Ladrillo,1063.6,75.5,6.8,294.3,Bajo
BIC-0129,Edificacion_Patrimonial_129,Cartagena,Bolívar,172,Piedra_Coralina,937.5,94.2,36.3,2.0,Medio
BIC-0130,Edificacion_Patrimonial_130,Tunja,Boyacá,292,Piedra_Coralina,709.0,66.1,24.4,16.6,Medio
BIC-0131,Edificacion_Patrimonial_131,Tunja,Boyacá,300,Piedra_Coralina,784.5,73.0,14.9,272.4,Bajo
BIC-0132,Edificacion_Patrimonial_132,Medellín,Antioquia,142,Mamposteria,1728.1,80.7,65.2,50.9,Medio
BIC-0133,Edificacion_Patrimonial_133,Tunja,Boyacá,137,Mamposteria,607.3,59.9,3.5,77.1,Bajo
BIC-0134,Edificacion_Patrimonial_134,Santa Marta,Magdalena,131,Ladrillo,1042.8,86.4,21.8,60.2,Bajo
BIC-0135,Edificacion_Patrimonial_135,Villa de Leyva,Boyacá,129,Adobe_Tapia,749.7,63.8,15.3,69.0,Bajo
BIC-0136,Edificacion_Patrimonial_136,Medellín,Antioquia,214,Mamposteria,1634.3,73.4,41.6,100.0,Bajo
BIC-0137,Edificacion_Patrimonial_137,Medellín,Antioquia,128,Adobe_Tapia,1539.3,80.9,60.6,6.9,Medio
BIC-0138,Edificacion_Patrimonial_138,Medellín,Antioquia,87,Piedra_Ladrillo,1717.4,67.4,61.6,21.2,Medio
BIC-0139,Edificacion_Patrimonial_139,Popayán,Cauca,147,Mamposteria,2045.7,74.4,26.1,149.4,Bajo
BIC-0140,Edificacion_Patrimonial_140,Santa Marta,Magdalena,261,Adobe_Tapia,714.1,69.6,17.6,82.0,Bajo
BIC-0141,Edificacion_Patrimonial_141,Mompox,Bolívar,122,Ladrillo,1162.9,77.0,7.2,103.3,Bajo
BIC-0142,Edificacion_Patrimonial_142,Santa Marta,Magdalena,121,Piedra_Concreto,973.0,82.4,22.3,107.6,Bajo
BIC-0143,Edificacion_Patrimonial_143,Popayán,Cauca,207,Adobe_Tapia,1987.1,75.4,29.9,105.8,Medio
BIC-0144,Edificacion_Patrimonial_144,Medellín,Antioquia,121,Ladrillo,1627.1,72.1,50.6,193.6,Bajo
BIC-0145,Edificacion_Patrimonial_145,Bogotá,Cundinamarca,121,Ladrillo,955.9,69.6,61.2,34.7,Bajo
BIC-0146,Edificacion_Patrimonial_146,Cartagena,Bolívar,50,Ladrillo,1226.5,75.8,26.8,47.8,Bajo
BIC-0147,Edificacion_Patrimonial_147,Villa de Leyva,Boyacá,50,Piedra_Concreto,960.6,58.6,35.5,80.3,Bajo
BIC-0148,Edificacion_Patrimonial_148,Cartagena,Bolívar,50,Adobe_Tapia,995.5,86.9,34.7,160.9,Bajo
BIC-0149,Edificacion_Patrimonial_149,Tunja,Boyacá,120,Mamposteria,644.3,66.5,2.9,100.4,Bajo
BIC-0150,Edificacion_Patrimonial_150,Cartagena,Bolívar,100,Adobe_Tapia,1008.2,75.6,36.0,31.8,Medio
BIC-0151,Edificacion_Patrimonial_151,Popayán,Cauca,165,Mamposteria,2002.2,80.0,8.0,105.4,Bajo
BIC-0152,Edificacion_Patrimonial_152,Medellín,Antioquia,112,Piedra_Ladrillo,1702.7,76.1,75.7,109.4,Medio
BIC-0153,Edificacion_Patrimonial_153,Tunja,Boyacá,50,Adobe_Tapia,522.0,61.9,20.3,18.2,Bajo
BIC-0154,Edificacion_Patrimonial_154,Tunja,Boyacá,122,Piedra_Coralina,669.9,57.8,25.8,49.3,Bajo
BIC-0155,Edificacion_Patrimonial_155,Cali,Valle del Cauca,76,Piedra_Concreto,1344.8,68.1,55.5,83.6,Bajo
BIC-0156,Edificacion_Patrimonial_156,Cali,Valle del Cauca,316,Ladrillo,1449.5,73.5,46.8,24.2,Medio
BIC-0157,Edificacion_Patrimonial_157,Popayán,Cauca,103,Adobe_Tapia,2112.2,90.8,24.0,40.7,Medio
BIC-0158,Edificacion_Patrimonial_158,Villa de Leyva,Boyacá,121,Adobe_Tapia,924.3,65.9,14.7,68.4,Bajo
BIC-0159,Edificacion_Patrimonial_159,Villa de Leyva,Boyacá,99,Piedra_Concreto,1081.2,68.5,12.4,160.7,Bajo
BIC-0160,Edificacion_Patrimonial_160,Santa Marta,Magdalena,62,Ladrillo,1072.9,71.2,41.4,9.6,Medio
BIC-0161,Edificacion_Patrimonial_161,Villa de Leyva,Boyacá,144,Mamposteria,962.1,65.9,4.6,206.3,Bajo
BIC-0162,Edificacion_Patrimonial_162,Popayán,Cauca,215,Piedra_Concreto,2161.9,84.4,35.6,189.2,Medio
BIC-0163,Edificacion_Patrimonial_163,Mompox,Bolívar,144,Mamposteria,1033.9,86.1,17.1,19.9,Medio
BIC-0164,Edificacion_Patrimonial_164,Cartagena,Bolívar,215,Adobe_Tapia,1063.4,84.2,32.9,354.2,Medio
BIC-0165,Edificacion_Patrimonial_165,Mompox,Bolívar,146,Piedra_Ladrillo,1268.2,84.1,15.3,38.4,Bajo
BIC-0166,Edificacion_Patrimonial_166,Bogotá,Cundinamarca,50,Adobe_Tapia,890.1,69.8,67.8,129.0,Bajo
BIC-0167,Edificacion_Patrimonial_167,Santa Marta,Magdalena,135,Ladrillo,936.0,87.2,32.0,38.4,Bajo
BIC-0168,Edificacion_Patrimonial_168,Cali,Valle del Cauca,219,Piedra_Concreto,1508.3,66.3,50.9,2.5,Medio
BIC-0169,Edificacion_Patrimonial_169,Bogotá,Cundinamarca,156,Ladrillo,946.5,72.4,69.1,65.4,Medio
BIC-0170,Edificacion_Patrimonial_170,Barichara,Santander,223,Ladrillo,1131.4,53.6,-2.6,133.8,Bajo
BIC-0171,Edificacion_Patrimonial_171,Villa de Leyva,Boyacá,116,Mamposteria,871.8,58.3,8.8,35.1,Bajo
BIC-0172,Edificacion_Patrimonial_172,Cali,Valle del Cauca,50,Ladrillo,1359.3,67.6,51.8,299.5,Bajo
BIC-0173,Edificacion_Patrimonial_173,Cali,Valle del Cauca,228,Piedra_Coralina,1458.6,72.8,51.7,95.0,Medio
BIC-0174,Edificacion_Patrimonial_174,Santa Marta,Magdalena,243,Piedra_Concreto,1142.1,72.2,30.7,19.4,Medio
BIC-0175,Edificacion_Patrimonial_175,Tunja,Boyacá,100,Piedra_Coralina,594.5,61.8,31.9,6.0,Medio
BIC-0176,Edificacion_Patrimonial_176,Mompox,Bolívar,120,Mamposteria,1082.6,88.0,25.5,16.7,Medio
BIC-0177,Edificacion_Patrimonial_177,Tunja,Boyacá,105,Piedra_Coralina,713.3,66.0,4.8,89.9,Bajo
BIC-0178,Edificacion_Patrimonial_178,Santa Marta,Magdalena,82,Adobe_Tapia,996.5,78.2,35.8,13.9,Medio
BIC-0179,Edificacion_Patrimonial_179,Villa de Leyva,Boyacá,172,Ladrillo,933.4,68.3,38.1,9.1,Medio
BIC-0180,Edificacion_Patrimonial_180,Mompox,Bolívar,50,Adobe_Tapia,1074.3,88.4,5.5,68.5,Bajo
BIC-0181,Edificacion_Patrimonial_181,Bogotá,Cundinamarca,108,Ladrillo,862.4,74.9,66.9,65.5,Bajo
BIC-0182,Edificacion_Patrimonial_182,Barichara,Santander,246,Ladrillo,1134.3,68.6,3.7,83.4,Bajo
BIC-0183,Edificacion_Patrimonial_183,Cali,Valle del Cauca,196,Piedra_Coralina,1444.1,76.0,56.1,190.1,Medio
BIC-0184,Edificacion_Patrimonial_184,Bogotá,Cundinamarca,182,Piedra_Ladrillo,911.5,77.5,63.6,114.0,Medio
BIC-0185,Edificacion_Patrimonial_185,Villa de Leyva,Boyacá,260,Ladrillo,964.9,64.2,19.5,40.8,Bajo
BIC-0186,Edificacion_Patrimonial_186,Bogotá,Cundinamarca,94,Piedra_Concreto,889.5,77.1,59.0,70.8,Bajo
BIC-0187,Edificacion_Patrimonial_187,Cartagena,Bolívar,165,Piedra_Concreto,1054.6,75.2,42.5,100.5,Bajo
BIC-0188,Edificacion_Patrimonial_188,Tunja,Boyacá,269,Ladrillo,671.4,66.3,16.0,77.9,Bajo
BIC-0189,Edificacion_Patrimonial_189,Medellín,Antioquia,142,Piedra_Coralina,1677.9,71.0,61.9,10.8,Medio
BIC-0190,Edificacion_Patrimonial_190,Popayán,Cauca,164,Ladrillo,2140.9,77.1,21.0,123.2,Bajo
BIC-0191,Edificacion_Patrimonial_191,Mompox,Bolívar,160,Piedra_Coralina,1130.0,90.0,-0.2,4.7,Medio
BIC-0192,Edificacion_Patrimonial_192,Bogotá,Cundinamarca,179,Ladrillo,787.4,74.3,34.6,147.1,Bajo
BIC-0193,Edificacion_Patrimonial_193,Villa de Leyva,Boyacá,105,Ladrillo,1088.1,57.8,-4.0,17.9,Bajo
BIC-0194,Edificacion_Patrimonial_194,Bogotá,Cundinamarca,201,Piedra_Concreto,938.7,80.6,68.1,31.9,Medio
BIC-0195,Edificacion_Patrimonial_195,Cartagena,Bolívar,202,Mamposteria,1040.1,91.2,24.3,50.7,Bajo
BIC-0196,Edificacion_Patrimonial_196,Villa de Leyva,Boyacá,221,Adobe_Tapia,879.3,61.4,11.3,3.2,Medio
BIC-0197,Edificacion_Patrimonial_197,Mompox,Bolívar,50,Mamposteria,1344.4,83.6,26.2,344.8,Bajo
BIC-0198,Edificacion_Patrimonial_198,Mompox,Bolívar,171,Piedra_Ladrillo,1177.0,87.5,22.2,186.3,Bajo
BIC-0199,Edificacion_Patrimonial_199,Medellín,Antioquia,201,Piedra_Concreto,1782.9,69.0,67.1,159.2,Medio
BIC-0200,Edificacion_Patrimonial_200,Barichara,Santander,67,Adobe_Tapia,1095.0,63.9,7.4,56.3,Bajo
BIC-0201,Edificacion_Patrimonial_201,Santa Marta,Magdalena,146,Piedra_Concreto,836.9,80.6,23.2,31.3,Bajo
BIC-0202,Edificacion_Patrimonial_202,Bogotá,Cundinamarca,99,Piedra_Ladrillo,939.6,73.6,54.7,7.5,Medio
BIC-0203,Edificacion_Patrimonial_203,Cartagena,Bolívar,113,Piedra_Ladrillo,807.6,74.1,42.6,118.7,Bajo
BIC-0204,Edificacion_Patrimonial_204,Barichara,Santander,179,Piedra_Coralina,1147.9,61.9,9.3,11.1,Medio
BIC-0205,Edificacion_Patrimonial_205,Popayán,Cauca,149,Mamposteria,1984.2,85.5,33.8,82.0,Bajo
BIC-0206,Edificacion_Patrimonial_206,Cali,Valle del Cauca,79,Adobe_Tapia,1483.8,71.7,44.1,8.2,Medio
